"","CXal+PVA+PVal","GXvd+RYq+CXbd+ESkg","PACd","PAd+PAal+PAa"
"field_lda","62.31 (1.61)","69.23 (2.34)","88.15 (2.23)","85.86 (1.58)"
"field_rf","73.85 (1.46)","68.97 (2.35)","89.1 (2.15)","79.1 (1.84)"
"field_lca","65.93 (1.57)","71.03 (2.3)","80.57 (2.73)","70.49 (2.07)"
"expert_lda","50.11 (1.66)","73.08 (2.25)","89.1 (2.15)","86.07 (1.57)"
"expert_rf","68.24 (1.54)","71.28 (2.29)","80.09 (2.76)","73.57 (2)"
"random_field_lda","74.07 (1.45)","74.87 (2.2)","85.31 (2.44)","71.93 (2.04)"
"random_field_rf","80.11 (1.32)","68.72 (2.35)","76.3 (2.93)","67.42 (2.12)"
"random_expert_lda","70.77 (1.51)","75.13 (2.19)","85.31 (2.44)","76.02 (1.93)"
"random_expert_rf","77.8 (1.38)","75.38 (2.18)","75.36 (2.97)","71.93 (2.04)"
"random_large_lda","73.63 (1.46)","73.08 (2.25)","84.83 (2.48)","72.13 (2.03)"
"random_large_rf","83.52 (1.23)","71.54 (2.29)","77.73 (2.87)","70.7 (2.06)"
