"","mean","se"
"field_lda",0.750247297195934,0.0939865310742438
"field_rf",0.704943703577806,0.0863722451932572
"expert_lda",0.89542707621983,0.0873024392079746
"expert_rf",0.861370752992003,0.0877547889933621
"random_field_lda",0.75280545889623,0.0962794499976822
"random_field_rf",0.721449093957719,0.0857314304700437
"random_expert_lda",0.737047368310079,0.0980143721573074
"random_expert_rf",0.721741778574478,0.0907027513451114
"random_large_lda",0.735883803213949,0.0947345497212883
"random_large_rf",0.751243919596951,0.0856458300928989
